name	allocated
Borel Jerome	True
Borel Rene	True
Boren Petra	True
Boren Roland	True
Borey Sylvan	True
Boretzki Anja	True
Boreux (Opgepast Franstalig) Emeline	True
Borg Daniel	True
Borg Gunilla	True
Borg Eva	True
Borg Inga	True
Borg Olle	True
Borgbjerg Sus	True
Borgans Christoph	True
Borgcrantz Blixt Aasa	True
Borgegaard Sara	True
Borgen Lone	True
Borgelt Marion	True
Borger Wodstrup Kirsten	True
Borges Antonio Eurico Esteves	True
Borges Eduardo Dos Reis	True
Borges Joao Miguel Ferrao De Aboim	True
Borges Jose Valdemar	True
Borges Leif	True
Borges Sofia Ribeiro	True
Borges Susanne	True
Borggafe Ellinor	True
Borghans Svenja	True
Borghese Giangiacomo	True
Borghese Paola	True
Borghesi Gilberto	True
Borghmans Herman	True
Borghouts Karin	True
Borghouts Rene	True
Borglind Stig	True
Borgmann Ernst Richard Bjorn	True
Borglin-Gustafsson Marie-Louise	True
Borgnet Corine	True
Borgnet Cyrille	True
Borgs Janis	True
Borgstroem Leif	True
Borgstroem Maria	True
Borgstroem Matz	True
Borgward Elle Pippa	True
Borgwardt Heidrun	True
Bories Pascal	True
Borik Matej	True
Borisch Helga	True
Borisch Frank	True
Borisovas Romanas	True
Borjeson Hans	True
Borjeson Birgitte	True
Bork Sasja	True
Bork Henrik	True
Borkamp Rasmus	True
Borkelmann Gerd	True
Bork-Johansen Jette	True
Bork-Johansen Peter	True
Borkenhagen Peter	True
Borkovics Peter	True
Borkoff-Degen Dora	True
Borland Emma	True
Borle Francis	True
Borlin Joergen	True
Borlinghaus Luitgard	True
Borm Annika	True
Bormanis Kalvis	True
Bormanis Marcis	True
Bormann Jan	True
Bormann Moritz	True
Bormeister Jane	True
Borms Nikolaas	True
Born Adolf	True
Born Boris	True
Born Hannelore	True
Bornay Manuel	True
Bornefeld Julia Ilse	True
Bornemann Michael	True
Borner Claudia	True
Borner Heiko	True
Bornheim Sofi	True
Borner Mathias	True
Bornhorst Matthias	True
Bornoffi Luca	True
Bornstein Angelika	True
Borodine Liliane	True
Boromisza Tibor	True
Boromisza Zsolt	True
Boros Julia Helen Louise	True
Boros Tamas	True
Borotinskij Peter	True
Borowsky Natascha	True
Borozanov Eliana	True
Borozdina Julia	True
Borras Jorge	True
Borracino Dario	True
Borrajo Vazquez Luis	True
Borre Erling	True
Borras Pol	True
Borregaard Vivi	True
Borrego Cubero Angel	True
Borrell I Guinart Perejaume	True
Borrelli Ciro	True
Borremans Bruno	True
Borremans Edwin	True
Borremans Rene	True
Borri Priscilla	True
Borring Tine	True
Borromeo Jackie	True
Borroni Anna	True
Borrut Jona Stella Henriksen	True
Bors Helga	True
Borsani Luisella	True
Borsdorf Werner	True
Borselius Anne-Beth	True
Borselius Ralf	True
Borski Eva	True
Borsos Miklos	True
Borsting Sten	True
Borsu David	True
Bortfeldt Thomas	True
Bortolamedi Erio	True
Bortoletto Anna Levis	True
Borup Ingeborg	True
Borup Lise	True
Boruwa Joy	True
Boruszek Lea	True
Borza Terez	True
Borzobohaty Anne	True
Bos Maaike	True
Bos Steven	True
Bos Henk	True
Bos Mareng Marianne	True
Bosbach Silke	True
Bosas Algirdas	True
Bosc Cyrille	True
Boscarin Alessandro	True
Bosch Alexander	True
Bosch B.	True
Bosch Jos	True
Bosch Jozef	True
Bosch Lena	True
Bosch Simon	True
Bosch Castellsague Montserrat	True
Bosch & Simons	True
Bosch Susanne	True
Bosch I Cruañas Lluís	True
Bosch Morera Pere	True
Boschert Peter	True
Boschan Madeleine	True
Boschma Berkhout Suze	True
Bosco Nathalie	True
Bosco Pierre	True
Boscutti Stephen	True
Bose Monika Felicitas	True
Bose Timon R.	True
Bosenberg Jens	True
Boseret Marc	True
Boseret Charles	True
Boskamp Heinz Georg	True
Bosioe Susanne	True
Bosl Manfred	True
Bosma Viveca	True
Bosmans Hilda	True
Bosoni Matteo	True
Bosmans Roland	True
Bosonnet Stephen	True
Boss Nathalie	True
Bossaux Etienne	True
Bossaerts Marc	True
Bosschaert Greet	True
Bosschot Jocelyne	True
Bosschaert Jan	True
Bosse Peter	True
Bosse Petra	True
Bosse Wolfgang	True
Bossell Kassandra Jane Mylchreest	True
Bossens Philippe	True
Bosser Jacques	True
Bosshardt Andre	True
Bosshardt Pascal	True
Bossi Marialuisa	True
Bossiroy Mark	True
Boss-Kulbe Siegrun	True
Bossler Hilding	True
Bossut Yves	True
Bostantzoglou Xrysanthos	True
Bosteels Emmanuel	True
Bostock Euphemia	True
Bostroem Camilla	True
Bostroem Carl Aake	True
Bostroem Gunilla	True
Bostroem Tomas	True
Bostrom Herrat	True
Bostrom Jorg	True
Bot Klaas	True
Boswijk Ellen	True
Bota Katalin	True
Botar Remus Claudiu	True
Botard Carl	True
Botelho Carlos Antonio Teixeira Basto Nunes	True
Botelho Manuel Viana	True
Botembe Mimbayi Lita Roger	True
Boter Iris	True
Both Heinke	True
Bothe Martina	True
Botha Rory	True
Bothawuy Lena	True
Bothien Horst-Pierre	True
Bothof A H	True
Bothof A.H.	True
Bothuon Anne	True
Botica Isabel Maria Santos Camacho	True
Botinelly Louis	True
