Abigail Hampsey
Adam Birtwistle
Adam Bruce Thomson
Adam Koukoudakis
Adam Smith
Adam White
Ade Adesina
Adébayo Bolaji
Adia Wahid
Adrian George
Adrian Green
Adrian Wiszniewski
Afifa Aleiby
Afonso Rocha
Agenor Asteriadis
Agnes Treherne
Ahmet Güneştekin
Aine Divine
Alain Nogues
Alan Gard
Alan Glasby
Alan Gouk
Alan Kingsbury
Alan Sorrell
Alan Thornhill
Alan Uglow
Alannah Cyan
Alasdair Hilleary (Loon)
Alastair Laas
Alastair Michie
Albert Henry Collings
Albert Houthuesen
Albert Louden
Albert Rutherston / Albert Rothenstein
Albert Willem
Albert Williams
Alberto Giacometti
Alberto Morrocco
Alecos Kondopoulos
Alessandro Raho
Alex Russell Flint
Alexander Goudie
Alexander James Hamilton
Alexander Massouras
Alexander Talbot-Rice
Alexandra Cowan
Alexandra Searle
Alexandre Barthet
Alexandros (Alekos) Alexandrakis
Alfons Alt
Alfred Bestall
Alfred Drury
Alfred Fontville de Breanski Jr
Alfred Janes
Alfred John Billinghurst
Alfred Munnings
Alfred Reginald Thomson
Alfred Wallis
Algernon Newton
Ali Rafeghvand
Alice Boyle
Alice Delhanty
Alice Macdonald
Alice McVicker
Alison Cooper
Alison Pullen
Alistair Little
Allen Jones
Allison Katz
Amanda Cornish
Amanda Hall
Amanda Seibæk
Amelia Kleiser
Ami Barwell
Amy Beager
Amy Katherine Browning
Ana Maria Pacheco
Ana Silva
Ancel Stronach
Andras Kaldor
André Durand
André Hemer
André Juillard
André Sas
Andrea Vecchi
Andrew Burgess
Andrew Cranston
Andrew Festing
Andrew Flint Shipman
Andrew Gadd
Andrew Gifford
Andrew James
Andrew Macara
Andrew Sabin
Andy Harper
Andy Hope 1930
Andy Scott
Aneurin Jones
Angela Palmer
Angelika Seik
Angus Fairhurst
Anke Weyer
Ann Patrick
Ann Robson
Anna Findlay
Anna Freeman Bentley
Anna Gillespie
Anna Ilsley
Anna Kenneally
Anna Mahler
Anna Ostoya
Anna Zemankova
Anna Zinkeisen
Anna-Marie Lamond
Anna-Rose McChesney
Annabel Barrett
Annalisa Morrocco
Anne Desmet
Anne Redpath
Anne Robinson
Anne Rothenstein
Anne Truitt
Anne von Freyburg
Anne Wright
Anneliese Everts
Annie French
Annie Goetzinger
Annie Kevans
Ant Smith
Anthony Amies
Anthony Amos
Anthony Caro
Anthony Devas
Anthony Earnshaw
Anthony Eyton
Anthony Green
Anthony Morris
Anthony Sheath
Anthony Southcombe
Anthony Stern
Antoine Blanchard
Anton Corbijn
Antonia Myatt
Antonio Alonso Martinez
Antonio Saura
Antony Micallef
Anya Gallaccio
Apostolia Vorgianiti
Apostolos Georgiou
Arabella Dorman
Araminta Blue Wieloch
Archie Sutter Watt
Arnaud Baumann
Arnaud Vasseux
Arthur Armstrong
Arthur Dooley
Arthur Jackson
Arthur John Elsley
Arthur Kitching
Arthur Laidlaw
Arthur Royce Bradbury
Arthur Spooner
Arthur Wardle
Artists Anonymous
Ashley Davies
Ashley Karrell
Atelier van Lieshout
Audrey Grant
Anna Zinkeisen
Augustus Lunn
Austin Osman Spare
Austin Wright
Aysha Nagieva
Baldur Helgason
Bambi
Barbara Hepworth
Barbara Valentine
Barry Flanagan
Barry Mason b.1947
Barry Mason b.1952
Basil Beattie
Bastien Vives
Beatrice Glenavy
Beatrice Hasell-McCosh
Beatrix Potter
Beatriz Santa-Rita
Beb-Deum
Beejoir
Ben Croft
Ben Langlands & Nikki Bell
Ben McLaughlin
Benjamin Creme
Benjamin Hannavy Cousen
Benjamin Pritchard
Benoit Grimbert
Berenice Sydney
Bernard Cohen
Bernard Descamps
Bernard Dunstan
Bernard Leslie Kearley
Bernard Lignon
Bernard Meninsky
Bernard Ninnes
Bernard Plossu
Bertram Priestman
Beth Moxham
Betty Kim
Betty Swanwick
Biddy Hodgkinson
Bill Brandt
Bill Jacklin
Bill Pike
Bill Prickett
Bill Scott
Bob Brown
Bob Law
Bob Lescaux
Bobbye Fermie
Brad Lochore
Brenda Moore
Brendan Neiland
Brendan Stuart Burns
Breon O'Casey
Brian & Jenny Blanthorn
Brian Griffin
Brian Irving
Brian Rice
Brian Shields
Brian Taylor
Bridget MacDonald
Bruce Bernard
Bruce Gilden
Bruce McLean
Bruce Tippett
Bruno Barbey
Bruno Romanelli
Bryan Ingham
Bryan Pearce
Caio Locke
Calum McClure
Camilla Hanney
Camille Souter
Campbell Archibald Mellon
Carel Weight
Carey Bennett
Carinthia West
Carl Chapple
Carl Donner
Carl Giles
Carl Moll
Carl Plackman
Carlo Zenone
Carlos Cruz-Diez
Carne Griffiths
Carol Rhodes
Carole Parmiter
Caroline Bullock
Caroline Hervey-Bathurst
Caroline Macdonald
Caroline McAdam Clark
Catarina Cardoso
Catherine Abel
Catherine Anholt
Catherine Bradbury
Catherine Goodman
Catherine Hough
Catherine Yass
Cathie Pilkington
Cathleen Mann
Catriona Hall
Caza
Cece Philips
Cecil Beaton
Cecil Collins
Cecil D'Oyly John
Cecil Maguire
Cecily Brown
Cedric Morris
Celia Paul
Celia Washington
Chantal Powell
Charles Baird
Charles Brady
Charles Cundall
Charles Gurrey
Charles Harry Hansen
Charles Jamieson
Charles Keeping
Charles MacCarthy
Charles March Gere
Charles Naper
Charles Pears
Charles Shearer
Charles Simpson b. 1952
Charles Spencelayh
Charles Walter Simpson d. 1971
Charles Wheeler
Charlie Holt
Charlie Langton
Charlie Mackesy
Charlie Millar
Charlotte Johnson Wahl
Charlotte Verity 
Charlotte Worthington
Chiara Dynys
Chica Seal
Chloe Barnes
Chris Billington
Chris Gollon
Chris Kenny
Chris Levine
Chris Makin
Chris Wilmott
Chrissie Lilley
Christelle Wealth
Christian Bonnefoi
Christian Broutin
Christian Furr
Christine Banat
Christine McKechnie
Christine Stark
Christopher Hartmann
Christopher Ironside
Christopher Le Brun
Christopher Nevinson
Christopher Noulton
Christopher Oldfield
Christopher Page
Christopher Prevot
Christopher Ryland
Chryssa
Claire Ireland
Claire Wiltsher
Clara Frain-Atallah
Clara Hastrup
Clara Klinghoffer
Clare Burnett
Clare Shenstone
Claude Closky
Claude Flight
Claude Gassian
Claudi Casanovas
Claudia Williams
Clemence Dane
Cleo Stoutzker
Cliff Wright
Clifford Fishwick
Clive Head
Clyde Hopkins
Colin Halliday
Colin Jones
Colin Middleton
Colin Moss
Conor Fallon
Conrad Atkinson
Constantine Manos
Coral Guest
Corinne Day
Cornell Capa
Craigie Aitchison
Cristina BanBan
Cristina Rodriguez
Cyril Power
Cyril Saunders Spackman
Daisy de Villeneuve
Damian Elwes
Dan Baldwin
Dan Ferguson
Dan Hillier
Daniel Ablitt
Daniel Cande
Daniel Clarke
Daniel Craddock
Daniel Enkaoua
Daniel Lergon
Daniel Rey
Daniel Silver
Daniela Raytchev
Dannielle Hodson
Darrell Mitchell
Darren Hughes
Darron Boulton
Darwood Grace
Dave Pearson
David Anthony Cooke
David Blackburn
David Cobley
David Cooke
David Dawson
David Fletcher
David Folley
David Gardner
David Greenall
David Hunt
David Hurn
David Inshaw
David Jagger
David Jones
David Leapman
David Low
David Macbeth Sutherland
David McClure
David Michie
David Murphy
David Nolan
David Ord Kerr
David Ponsonby
David Pye
David Remfry
David Saunders
David Tindle
David Wise
David Wiseman
Debbie Urquhart
Deborah Dewar
Deborah Duffin
Deborah Tarr
Deborah Thomas
Debra Lewis
Delia Diana Hamer
Demilly
Denis Brihat
Denis Mitchell
Denis Peploe
Denis Rouvre
Dennis Shields
Denys Watkins-Pitchford
Derek Balmer
Derek Crow
Derek Davis
Derek Hare
Derwent Wise
Desiree Dolron
Despina Stokou
Diana Armfield
Diana Copperwhite
Diana Cumming
Diane Dal-Pra
Diane Matthes
Dick Frizzell
Dickon Drury
Dido Crosby
Dimitris Perdikidis
Dinah Roe-Kendall
Dion Kitson
Dion Pears
Ditz
Djordje Ozbolt
Dod Procter
Dominic Ramos
Dominic Rouse
Dominic Shepherd
Dominique Issermann
Dominique Tarle
Donald Bain
Donald Harley
Donald McGill
Donald Taylor
Donald Watson
Dora Bertolutti Howard
Dora Gordine
Dora Holzhandler
Dorcas Casey
Dorothea Sharp
Dorothée du Mesnil
Dorothy Bohm
Dorothy Brett
Dorothy Hepworth
Dorothy Johnstone
Dorron Donald Britz
Dougal Kirkland
Douglas Anderson
Dudley Pout
Earl Haig
Ed Harper
Ed Sumner
Edgar Holloway
Edmund de Waal
Edouard Boubat
Eduardo Paolozzi
Edward Bawden
Edward Beale
Edward Burra
Edward Caruana Dingli
Edward Gordon Craig
Edward Halliday
Edward Hughes
Edward Jones
Edward Kington Brice
Edward Middleditch
Edward Noott
Edward Seago
Edward Waites
Edward Wesson
Edwin John
Edwin Straker
Edyta Jaworek
Efrat Merin
Eileen Agar
Eileen Cooper
Eileen Gray
Eileen Hogan
Eimear Nic Roibeaird
Eine
EJ Major
eL Seed
Eleanor Fortescue-Brickdale
Eleanor Johnson
Eleanor May Watson
Elena Njoabuzia Onwochei-Garcia
Eleni Dori
Elinor Evans
Elinor Rowlands
Elio Sorci
Elisabeth Vellacott
Elitsa Ristova
Elizabeth Abel
Elizabeth Blackadder
Elizabeth Butterworth
Elizabeth Collins
Elizabeth Dimitroff
Elizabeth James
Elizabeth Lloyd
Elizabeth Magill
Elizabeth Raeburn
Elizabeth Rice
Elizabeth Sorrell
Ella Naper
Ellie Atkinson
Elliot Dodd
Elliott Roy
Emily Patrick
Emily Stevens
Emily Tull
Emily Young
Emma Biggs & Matthew Collings
Emma Chichester Clark
Emma Faull
Emma Haworth
Emma Jamison
Emma Kennaway
Emma Sergeant
Emma Tennant
Emmanuel Awuni
Emmet Kierans
Emre Orhun
Endellion Lycett Green
Endre Roder
Enid Solomon
Enzo Plazzotta
Eric Haacht
Eric Hains
Eric Holt
Eric Malthouse
Eric Tucker
Ernest Howard Shepard
Ernest Michael Dinkel
Errol Neill
Estelle Simpson
Ethel Sands
Ethel Walker 1861-1951
Ethelbert White
Euan Uglow
Eugenie Vronskaya
Ev Meynell
Eva Gold
Eva Hamilton
Eva Joy Lawrence
Evelyn Dunbar
Evelyn Gibbs
Evelyn Williams
Everlyn Nicodemus
Ewan Keenan
Ewan Mungo White
FAKE
Federico Beltrán Masses
Felicity Mara
Feliks Topolski
Felix Kelly
Felix Treadwell
Fergus Greer
Ffiona Lewis
Fiona Hamilton
Fiona J Rose
Flora Yukhnovich
Florence Cestac
Florence Hutchings
Fortunino Matania
Fotis Kontoglou
Frances Broomfield
Frances Goodman
Frances Loyen
Frances Marr
Frances (May) Favata
Frances Treanor
Frances Walker
Francesca Sanders
Francesco Ruspoli
Francis Apesteguy
Francis Dodd
Francis Donkin Bedford
Francis Farmar
Francis Hamel
Francis Russell Flint
Francis Sultana
Francis Upritchard
Francis Valles
Franciszka Themerson
François Boucq
Françoise Gilot
Frank Archer
Frank Auerbach
Frank Brangwyn
Frank Dobson
Frank Jarvis
Frank Percy Wild
Frank Phelan
Frank Watson Wood
Frank Wortley Johnson
Franki Austin
Franz West
Fred Banbery
Fred Beverton
Fred Cuming
Fred Hall
Fred Ingrams
Fred Rich
Fred Uhlman
Fred Yates
Frédéric Barzilay
Frederick Appleyard
Frederick Edward McWilliam
Frederick Etchells
Frederick Gordon Crosby
Frederick James Everest
Frederick William Baldwin
Freya Douglas-Morris
Friedrich Vordemberge-Gildewart
Gala Bell
Galia Amsel
Gareth Lloyd-Ball
Garnet Wolseley
Gary Breeze
Gavin Turk
Gennadii Gogoliuk
Geoff Taylor
Geoffrey Dashwood
Georg Wilson
George Adamson
George Chapman
Nora Lucy Mowbrary Cundell
George Dannatt
George Edward Lodge
George F. Campbell
George Fullard
George Hammond Steel
George Harrison
George Henry
George Houston
George Jardine
George Kennethson
George Morton-Clark
George William Bissill
Georges Fevre
Georges Pierre
Georgia Hayes
Georgie Hopton
Gerald Gardiner
Gerald Kelly
Gerald Laing
Gerald Leslie Brockhurst
Gerald Wilde
Geraldine Knight
Geraldine Swayne
Gerard Burns
Gerard Dillon
Gérard Lauzier
Gerard Tisserand
Gertrude Hermes
