Agostini Max Michel
Abramovic Marina
Alaux Gustave
Appel Karel
Alaux Jean-Pierre
Arikha Avigdor
Alechinsky Pierre
Ahtila Eija Liisa
Antes Horst
Andersson Karin
Apperley George Owen Wynne
Arman
Arroyo Eduardo
Arntz Gerd
Balkenhol Stephan
Balthus
Balla Giacomo
Austin Robert
Arrufat Antoni Vila
Atlan Jean
Bauchant André
Bazaine Jean
Baumgarten Lothar
Baumeister Willi
Barceló Miquel
Barcsay Jeno
Barjola Juan
Bellmer Hans
Bennett Gordon
Bilinyara Bob
Bertoia Harry
Bertin Emile
Bernhard Lucian
Beuys Joseph
Blumenfeld Erwin
Benois Alexandre
Boetti Alighiero
Blackman Charles
Bishop Mervyn
Bissiere Roger
Brâncuși Constantin
Boyd John
Brandt Edgar
Bouvard Antoine
Bourgeois Louise
Boltanski Christian
Bonvicini Monica
Boyce Martin
Bombois Camille
Boyd David
Booth Peter
Bores Lopez Francisco
Brayer Yves
Broodthaers Marcel
Brauner Victor
Brandt Marianne
Buchheister Carl
Buchholz Quint
Breton André
Burchartz Max
Byrne John F
Buren Daniel
BulunBulun Johnny
Bustamante Jean-Marc
Bulatov Erik
Buffet Bernard
Campigli Massimo
Carra Carlo
Capogrossi Giuseppe
Casorati Felice
Calle Sophie
Carrington Leonora
Campendonk Heinrich
Ceria Edmond
Cavael Rolf
Camarasa Hermenegildo Anglada
Cangiullo Francesco
Camoin Charles
Cassigneul Jean-Pierre
Calka Maurice
Cerminova Toyen Maria
Chagall Marc
Chia Sandro
Chapelain-Midy Roger
Baldaccini Cesar
Chaissac Gaston
Cocteau Jean
Claerbout David
Christoforou John
Citroen Paul
Chillida Eduardo
Colin Paul
Ciry Michel
Cieslewicz Roman
Clave Antoni
Clairin Pierre-Eugene
Cremonini Leonardo
Constant
Corneille
Corlett Peter
Cortes Edouard
Czech Natalie
Dali Salvador
Croft Brenda L
de Chirico Giorgio
Crotti Jean
Csaky Joseph
Csernus Tibor
Davidson Jo
Dahlsen John
Desmazieres Erik Erik
deLempicka Tamara
Depero Fortunato
deStael Nicolas
Delvaux Paul
Demand Thomas
Filippo Luigi de Pisis
De Smet Leon
de Vlaminck Maurice
deSaintPhalle Niki
Delamarre Raymond
Deschamps Gerard
Deacon Destiny
DOrazio Piero
Dorival Georges
Duchamp Marcel
Dubuffet Jean
Drian
Dokoupil Jiri Georg
Domergue Jean-Gabriel
Dix Otto
Duchamp Suzanne
Dominguez Oscar
Domela Cesar
Dreyfus Marcel
Van Dongen Kees
Dobell William
Cronica Equipo
Dufy Jean
Edy-Legrand Edouard
Eliasson Olafur
Dufrene Francois
Dunoyer De Segonzac André
Eriksen Edvard
Ernst Max
Erro
Export Valie
Estève Maurice
Farel Pierre
Fahlström Oyvind
Fautrier Jean
Feito Luis
Falcucci Robert
Felixmüller Conrad
Fetting Rainer
Foujita Tsugouharu Leonard
Fontana Lucio
Francken Ruth
Gascoigne Rosalie
Fuchs Ernst
Gaitis Yannis
Fritsch Katharina
Garbell Alexandre
Gall Francois
Gabriel G.L.
Gaillardot Pierre
Freddie Wilhelm
Fruhtrunk Günter
Genoves Juan
Gorde Gaston
Gnoli Domenico
Gröting Asta
Grimm Willem
Gromaire Marcel
Gropius Walter
Grünfeld Thomas
Hajdu Etienne
Haacke Hans
Hambourg André
Gursky Andreas
Guerrero Jose
Guinovart Josep
Guttuso Renato
Halasz Gyula
Guino Richard
Hains Raymond
Halicka Alice
Helion Jean
Hartung Hans
Hartwig Josef
Heckel Erich
Hayden Henri
Herve Jules R
Herold Jacques
Herbin Auguste
Henry Maurice
Hayter Stanley William
Horn Rebecca
Horsfield Craigie
Hofer Karl
Hofer Candida
Holler Carsten
Hoech Hannah
Hugo Valentine
Hugnet Georges
Hundertwasser Friedensreich
Hugo Jean
Janco Marcel
James Louis
Jacob Pierre
Huyghe Pierre
Jespers Floris
Jean Marcel
Kadar Bela
Jorn Asger
Jouve Paul
Janssen Horst
Kemarre Gladdie
Klein Yves
Kisfaludi Strobl Zsigmond
Kelly John
Kahrs Johannes
Kijno Ladislas
Kngwarreye Emily Kame
Kopystiansky Svetlana
Kopystiansky Igor
Knoebel Imi
Kokoschka Oskar
Koolhaas Rem
Krohg Per
Kubin Alfred
Kosuth Joseph
Korniss Dezso
Lagar Celso
Labisse Felix
Lanskoy Andre
Laurencin Marie
Latapie Louis
LeParc Julio
Lardera Emmanuel
Lapicque Charles
Le Corbusier
Lalanne Francois Xavier
Lanceley Colin
Lalique Suzanne
Pho Le
Legrand Rene
Lepape Georges
Lopez Garcia Antonio
Levy Léopold
Lhote Andre
Linnqvist Hilding
Leger Fernand
Legueult Raymond
Mack Heinz
Lurcat Jean
Malangi (Daymirringu) David
Magnelli Alberto
Lutter Vera
Lux Loretta
Maar Dora
Magritte René
Manessier Alfred
Mammen Johanna
Manrique Cesar
Marq Charles
Manzoni Piero
Marika Mawalan
Marini Marino
Mariani Carlo Maria
Marawanga Peter
Meese Jonathan
Marshall Anthony R
Marshall Francis
Meheut Mathurin
Massoudy Hassan
Matta
Mawurndjul John
McDonald Kim
Masereel Frans
Masson Andre
Millares Manolo
Miro Joan
Messager Annette
Michonze Grégoire
Mitchell Donald
Merz Mario
Michaux Henri
Mills Jamie Stormie
Milpurrurru George
Metzinger Jean
Molnar C. Pal
Monory Jacques
Mossa Gustave Adolphe
Bird Lindsay Mpetyane
Morellet Francois
Morandi Giorgio
Mréjen Valérie
Napaltjarri Milyika
Münter Gabriele
Muehl Otto
Nabarlambarl Peter
Muthesius Friedrich Eckart
Music Antonio Zoran
Mundt Wilhelm
Nakamarra Doreen Reid
Napanangka Makinti
Nesch Rolf
Nemes Endre
Nielsen Jais
Nouvel Jean
Onus Lin
Nitsch Hermann
Pechaubes Eugene
Ozenfant Amedee
Oudot Roland
Orloff Chana
Paulus Pierre
Peeters Henk
Pedersen Carl-Henning
Penone Giuseppe
Palermo Blinky
Pechstein Max
Pissarro Hughes Claude
Pignon Edouard
Picart Le Doux Charles Alexandre Rene
Perriand Charlotte
Pirandello Fausto
Planson André
